model,family,sigma,pairs,observed_total,predicted_total,MAE,RMSE,Pearson_log,Spearman_log,R2_log,Median_abs_log_ratio,Mean_abs_log_ratio,zero_pred_share,zero_pred_observed_total,median_improvement_abs_log,mean_improvement_abs_log,share_better_abs_log,R2_log_gain_vs_RM,R2_log_model,R2_log_RM,p10_improvement_abs_log,p90_improvement_abs_log,label,median_improvement_ci_low,median_improvement_ci_high,share_better_ci_low,share_better_ci_high,R2_log_gain_ci_low,R2_log_gain_ci_high
rel_comrelig_log_rank,relational,2.0,2070,5751056.0,5751056.0,4282.867219563061,19848.48839646416,0.6056980365267687,0.5993217983631227,-0.990235725645426,1.151881566307461,1.1979395997932742,0.06666666666666667,5982.0,-0.05428307948546174,-0.1604740381852686,0.34444444444444444,-0.454070229614,-0.990235725645426,-0.5361654960314259,-0.880639086573539,0.44629297331569073,Corridor Common Religion (log rank),-0.06322592913325342,-0.044888191758393425,0.3347826086956522,0.35507246376811596,-0.4876875565634533,-0.4201310090164762
rel_diplo_disagreement,relational,8.0,2070,5751056.0,5751056.0,4056.874196081686,17915.4772313995,0.6495739952842627,0.6579897574052715,-0.7425913764080077,1.0921293966919363,1.1166810710605144,0.018357487922705314,1186.0,-0.05821881666864148,-0.07921550945250874,0.22657004830917873,-0.20642588037658172,-0.7425913764080077,-0.5361654960314259,-0.27429284512669855,0.11895955709738068,Corridor Diplomatic Disagreement (min-max),-0.06347418295647322,-0.05201124756059361,0.2178743961352657,0.23478260869565218,-0.21586592493789453,-0.19764113744655878
rel_comrelig,relational,1.0,2070,5751056.0,5751056.0,4488.122527011216,23897.220355867667,0.4405016373381729,0.39395314514760565,-1.172542284086044,1.1256977330068034,1.21428125926295,0.23043478260869565,939045.0,-0.061151821295423126,-0.17681569765494445,0.4067632850241546,-0.6363767880546181,-1.172542284086044,-0.5361654960314259,-1.4635670731521075,1.129295893238253,Corridor Common Religion (min-max),-0.07543633466286925,-0.04733765281504902,0.39509178743961354,0.41739130434782606,-0.7052580362362375,-0.5719505943710477
rel_scaled_sci_2021_log_rank,relational,2.0,2070,5751056.0,5751056.0,4158.627220705521,20389.752527021814,0.6755899700971132,0.6909384877968373,-0.9991532992880228,1.2266136222396242,1.2392027792085254,0.07342995169082125,3692.0,-0.061504643678149784,-0.20173721760052,0.27053140096618356,-0.46298780325659683,-0.9991532992880228,-0.5361654960314259,-0.8623599176580216,0.28569718508960434,Corridor Social Connectedness (log rank),-0.07513518109269614,-0.05038538642074096,0.2599033816425121,0.2811594202898551,-0.4978353977709619,-0.43386809089703765
rel_comrelig_log_minmax,relational,1.0,2070,5751056.0,5751056.0,4438.639029758075,23982.31229900706,0.438585604876734,0.39113410338454013,-1.2276815994225174,1.165087669976536,1.2349678996904896,0.23526570048309178,943288.0,-0.07175597143371343,-0.1975023380824841,0.3903381642512077,-0.6915161033910915,-1.2276815994225174,-0.5361654960314259,-1.4933357604825188,1.086060834079804,Corridor Common Religion (log min-max),-0.09030298175801166,-0.05858718360825432,0.38019323671497585,0.40193236714975844,-0.7552405418030733,-0.6278482802105865
rel_comrelig_row_log_zscore,relational,5.0,2070,5751056.0,5751056.0,4220.270405535342,19188.886028725105,0.5938461163417622,0.5659970208289424,-1.1738901188923214,1.1937166917776532,1.2517730258359268,0.09178743961352658,91565.0,-0.07649220554124786,-0.2143074642279214,0.32222222222222224,-0.6377246228608955,-1.1738901188923214,-0.5361654960314259,-0.808099643131769,0.3670781385664891,Corridor Common Religion (origin log-zscore),-0.08650099302558618,-0.06363763573399495,0.3115942028985507,0.3333333333333333,-0.6858645847151564,-0.5923574138802157
rel_diplo_disagreement,relational,5.0,2070,5751056.0,5751056.0,4126.58826642489,18664.67071930003,0.6401239128153031,0.6544754067133264,-0.8825680939290397,1.1378509274936235,1.1682904015959794,0.025603864734299518,1085.0,-0.0926957521215711,-0.13082483998797395,0.20628019323671498,-0.34640259789761374,-0.8825680939290397,-0.5361654960314259,-0.4274430198801611,0.1573264279599139,Corridor Diplomatic Disagreement (min-max),-0.09889370660078067,-0.0851140445846136,0.19710144927536233,0.21545893719806763,-0.36336361580436083,-0.33127681138988135
rel_diplo_disagreement_row_log_zscore,relational,2.0,2070,5751056.0,5751056.0,4525.693950618701,23197.48246739652,0.4631402732330667,0.40896565086768366,-1.8202507209560643,1.320309402312891,1.4276641231280713,0.23091787439613526,500544.0,-0.09728325157355455,-0.39019856152006577,0.26956521739130435,-1.2840852249246384,-1.8202507209560643,-0.5361654960314259,-1.4888883178470018,0.28124357184918664,Corridor Diplomatic Disagreement (origin log-zscore),-0.1077389788072497,-0.08460997483676702,0.2599033816425121,0.2792270531400966,-1.3511872882712765,-1.229120805456349
gdp_ferm,traditional,2.0,2070,5751056.0,5751056.0,4520.786821373826,20886.637467103752,0.5725483066872634,0.6058269808687156,-1.225288759259196,1.2559187845003517,1.2982374182727574,0.11884057971014493,8842.0,-0.10296299655142876,-0.26077185666475206,0.34057971014492755,-0.68912326322777,-1.225288759259196,-0.5361654960314259,-1.385753285063431,0.726592464087826,Node GDP per capita (log z-score),-0.12017356007683663,-0.09457434664653384,0.3303574879227053,0.3507246376811594,-0.7460521297149361,-0.6368488701685252
rel_scaled_sci_2021_log_minmax,relational,1.0,2070,5751056.0,5751056.0,4142.498696608463,23848.45672508965,0.6471460135360142,0.6481476498349115,-1.3558382529320774,1.335900884494421,1.357886324766112,0.19082125603864733,35656.0,-0.10918278891328015,-0.3204207631581066,0.20772946859903382,-0.8196727569006514,-1.3558382529320774,-0.5361654960314259,-1.20181788611422,0.19390126316858317,Corridor Social Connectedness (log min-max),-0.12239793082271078,-0.09711489802333492,0.19903381642512077,0.2169855072463768,-0.8699657857121006,-0.7645106766382784
