country_from,country_to,num_migrants,country_from_name,country_to_name,predicted_migrants,residual,signed_error,abs_error,log_observed,log_predicted,log_ratio,abs_log_ratio
MNG,KOR,4946.0,Mongolia,South Korea,9749.464306706866,4803.464306706866,4803.464306706866,4803.464306706866,3.694341910364181,3.989025296830798,0.2946833864666168,0.2946833864666168
MNG,KWT,8.0,Mongolia,Kuwait,0.02173066092399201,-7.978269339076008,-7.978269339076008,7.978269339076008,0.9542425094393249,0.009336426238311149,-0.9449060832010138,0.9449060832010138
MNG,LAO,9.0,Mongolia,Laos,0.07199860022963887,-8.928001399770361,-8.928001399770361,8.928001399770361,1.0,0.030194218273784185,-0.9698057817262158,0.9698057817262158
MNG,LBN,13.0,Mongolia,Lebanon,0.025216058418776246,-12.974783941581224,-12.974783941581224,12.974783941581224,1.146128035678238,0.010815400114667586,-1.1353126355635705,1.1353126355635705
MNG,LKA,25.0,Mongolia,Sri Lanka,0.11219329522233254,-24.887806704777667,-24.887806704777667,24.887806704777667,1.414973347970818,0.04618027263557649,-1.3687930753352415,1.3687930753352415
MNG,MAC,18.0,Mongolia,Macao S.A.R,2.0993224618360795,-15.90067753816392,-15.90067753816392,15.90067753816392,1.2787536009528289,0.49126676375478334,-0.7874868371980456,0.7874868371980456
MNG,MMR,32.0,Mongolia,Myanmar,0.48163154818840054,-31.5183684518116,-31.5183684518116,31.5183684518116,1.5185139398778875,0.17074021681239096,-1.3477737230654965,1.3477737230654965
MNG,MYS,44.0,Mongolia,Malaysia,0.18021263444140334,-43.8197873655586,-43.8197873655586,43.8197873655586,1.6532125137753437,0.0719602595478653,-1.5812522542274783,1.5812522542274783
MNG,NPL,25.0,Mongolia,Nepal,62.25645557728157,37.25645557728157,37.25645557728157,37.25645557728157,1.414973347970818,1.8011048536190106,0.3861315056481926,0.3861315056481926
MNG,OMN,21.0,Mongolia,Oman,0.023890650997466564,-20.976109349002535,-20.976109349002535,20.976109349002535,1.3424226808222062,0.010253577534146425,-1.3321691032880598,1.3321691032880598
MNG,PAK,50.0,Mongolia,Pakistan,1.4220683281436757,-48.57793167185633,-48.57793167185633,48.57793167185633,1.7075701760979363,0.38418639071338523,-1.3233837853845511,1.3233837853845511
MNG,PHL,121.0,Mongolia,Philippines,0.8755142409165318,-120.12448575908347,-120.12448575908347,120.12448575908347,2.0863598306747484,0.27312036612896307,-1.8132394645457852,1.8132394645457852
MNG,QAT,22.0,Mongolia,Qatar,0.012890930626578546,-21.98710906937342,-21.98710906937342,21.98710906937342,1.3617278360175928,0.005562682500196245,-1.3561651535173966,1.3561651535173966
MNG,SAU,31.0,Mongolia,Saudi Arabia,0.14967852431146295,-30.85032147568854,-30.85032147568854,30.85032147568854,1.505149978319906,0.0605764189314162,-1.4445735593884899,1.4445735593884899
MNG,SGP,13.0,Mongolia,Singapore,0.02894582525003091,-12.97105417474997,-12.97105417474997,12.97105417474997,1.146128035678238,0.012392509442377566,-1.1337355262358604,1.1337355262358604
MNG,SYR,48.0,Mongolia,Syria,0.10074403661898755,-47.899255963381016,-47.899255963381016,47.899255963381016,1.6901960800285136,0.041686341308049775,-1.648509738720464,1.648509738720464
MNG,THA,23.0,Mongolia,Thailand,0.6093871388720583,-22.39061286112794,-22.39061286112794,22.39061286112794,1.380211241711606,0.20666052641854005,-1.173550715293066,1.173550715293066
MNG,TJK,31.0,Mongolia,Tajikistan,1.521521589596372,-29.47847841040363,-29.47847841040363,29.47847841040363,1.505149978319906,0.40166269099700846,-1.1034872873228976,1.1034872873228976
MNG,TKM,39.0,Mongolia,Turkmenistan,0.050843386871259076,-38.94915661312874,-38.94915661312874,38.94915661312874,1.6020599913279623,0.02153799548992186,-1.5805219958380405,1.5805219958380405
MNG,TLS,37.0,Mongolia,East Timor,0.0047926985548188295,-36.995207301445184,-36.995207301445184,36.995207301445184,1.5797835966168101,0.002076470552283693,-1.5777071260645266,1.5777071260645266
MNG,TUR,455.0,Mongolia,Turkey,0.3800987707318103,-454.6199012292682,-454.6199012292682,454.6199012292682,2.658964842664435,0.13991016904528672,-2.519054673619148,2.519054673619148
MNG,TWN,162.0,Mongolia,Taiwan,93.96427772137555,-68.03572227862445,-68.03572227862445,68.03572227862445,2.2121876044039577,1.9775602694358487,-0.23462733496810897,0.23462733496810897
MNG,UZB,37.0,Mongolia,Uzbekistan,14.497501981610068,-22.502498018389932,-22.502498018389932,22.502498018389932,1.5797835966168101,1.1902617005552945,-0.3895218960615157,0.3895218960615157
MNG,VNM,325.0,Mongolia,Vietnam,0.6804654612265416,-324.31953453877344,-324.31953453877344,324.31953453877344,2.513217600067939,0.2254295907996219,-2.287788009268317,2.287788009268317
MNG,YEM,1.0,Mongolia,Yemen,0.12984148198496034,-0.8701585180150396,-0.8701585180150396,0.8701585180150396,0.3010299956639812,0.05301751575917381,-0.24801247990480738,0.24801247990480738
MYS,AFG,115.0,Malaysia,Afghanistan,76.9520822797709,-38.047917720229094,-38.047917720229094,38.047917720229094,2.0644579892269186,1.8918277206863217,-0.17263026854059674,0.17263026854059674
MYS,ARE,1167.0,Malaysia,United Arab Emirates,15.934065018470555,-1151.0659349815294,-1151.0659349815294,1151.0659349815294,3.0674428427763805,1.2287612229157807,-1.8386816198606,1.8386816198606
MYS,ARM,33.0,Malaysia,Armenia,4.454463499481178,-28.54553650051882,-28.54553650051882,28.54553650051882,1.5314789170422551,0.7367520398604968,-0.7947268771817583,0.7947268771817583
MYS,AZE,19.0,Malaysia,Azerbaijan,15.685475272411251,-3.314524727588749,-3.314524727588749,3.314524727588749,1.3010299956639813,1.2223385816977874,-0.0786914139661937,0.0786914139661937
MYS,BGD,35027.0,Malaysia,Bangladesh,3703.2345950240247,-31323.765404975977,-31323.765404975977,31323.765404975977,4.54441534103564,3.5686984834359583,-0.9757168575996809,0.9757168575996809
MYS,BHR,141.0,Malaysia,Bahrain,2.4511659606433036,-138.5488340393567,-138.5488340393567,138.5488340393567,2.1522883443830563,0.5379658442693401,-1.6143225001137165,1.6143225001137165
MYS,BRN,1010.0,Malaysia,Brunei,24.303797891798,-985.696202108202,-985.696202108202,985.696202108202,3.004751155591001,1.4031857100953278,-1.6015654454956731,1.6015654454956731
MYS,BTN,33.0,Malaysia,Bhutan,13.798042264929725,-19.201957735070273,-19.201957735070273,19.201957735070273,1.5314789170422551,1.1702042633829846,-0.3612746536592706,0.3612746536592706
MYS,CYP,83.0,Malaysia,Cyprus,1.900237984575336,-81.09976201542466,-81.09976201542466,81.09976201542466,1.9242792860618816,0.46243363622558314,-1.4618456498362984,1.4618456498362984
MYS,GEO,19.0,Malaysia,Georgia,5.572491465731054,-13.427508534268945,-13.427508534268945,13.427508534268945,1.3010299956639813,0.8177300308547311,-0.4832999648092502,0.4832999648092502
MYS,HKG,1383.0,Malaysia,Hong Kong S.A.R.,206.03054439242052,-1176.9694556075794,-1176.9694556075794,1176.9694556075794,3.141136090120739,2.3160344241162583,-0.8251016660044805,0.8251016660044805
MYS,IDN,169071.0,Malaysia,Indonesia,33087.10105936385,-135983.89894063614,-135983.89894063614,135983.89894063614,5.228071690079313,4.519671843524186,-0.7083998465551267,0.7083998465551267
MYS,IND,21040.0,Malaysia,India,8876.791825770042,-12163.208174229958,-12163.208174229958,12163.208174229958,4.323066376363904,3.948304957091766,-0.374761419272138,0.374761419272138
MYS,IRQ,736.0,Malaysia,Iraq,65.02569690638913,-670.9743030936108,-670.9743030936108,670.9743030936108,2.8674674878590514,1.81971299391534,-1.0477544939437116,1.0477544939437116
MYS,ISR,22.0,Malaysia,Israel,13.54251275757945,-8.45748724242055,-8.45748724242055,8.45748724242055,1.3617278360175928,1.162639453460189,-0.19908838255740388,0.19908838255740388
MYS,JOR,213.0,Malaysia,Jordan,16.134604046090637,-196.86539595390937,-196.86539595390937,196.86539595390937,2.330413773349191,1.2338740730153879,-1.0965397003338029,1.0965397003338029
MYS,JPN,2260.0,Malaysia,Japan,224.18319079539435,-2035.8168092046058,-2035.8168092046058,2035.8168092046058,3.35430056234536,2.3525359686958947,-1.0017645936494652,1.0017645936494652
MYS,KAZ,104.0,Malaysia,Kazakhstan,37.40149881020162,-66.59850118979838,-66.59850118979838,66.59850118979838,2.0211892990699383,1.584348175208599,-0.436841123861339,0.436841123861339
MYS,KGZ,21.0,Malaysia,Kyrgyzstan,12.717263929353514,-8.282736070646486,-8.282736070646486,8.282736070646486,1.3424226808222062,1.137267494834123,-0.20515518598808316,0.20515518598808316
MYS,KHM,4069.0,Malaysia,Cambodia,102557.6952760348,98488.6952760348,98488.6952760348,98488.6952760348,3.60959440922522,5.010972487233023,1.4013780780078025,1.4013780780078025
MYS,KOR,2031.0,Malaysia,South Korea,104.73837457214059,-1926.2616254278594,-1926.2616254278594,1926.2616254278594,3.307923703611882,2.024232630073483,-1.2836910735383986,1.2836910735383986
MYS,KWT,339.0,Malaysia,Kuwait,7.118014769162602,-331.8819852308374,-331.8819852308374,331.8819852308374,2.531478917042255,0.909449837097057,-1.6220290799451982,1.6220290799451982
MYS,LAO,139.0,Malaysia,Laos,322.73050241180226,183.73050241180226,183.73050241180226,183.73050241180226,2.146128035678238,2.510183621259331,0.3640555855810932,0.3640555855810932
MYS,LBN,101.0,Malaysia,Lebanon,8.39997974807962,-92.60002025192038,-92.60002025192038,92.60002025192038,2.0086001717619175,0.9731269179287685,-1.035473253833149,1.035473253833149
MYS,LKA,1259.0,Malaysia,Sri Lanka,911.9870271533568,-347.01297284664315,-347.01297284664315,347.01297284664315,3.100370545117563,2.960464606586063,-0.13990593853149963,0.13990593853149963
MYS,MAC,202.0,Malaysia,Macao S.A.R,27.051240927733215,-174.9487590722668,-174.9487590722668,174.9487590722668,2.307496037913213,1.4479520782890172,-0.8595439596241956,0.8595439596241956
MYS,MMR,29617.0,Malaysia,Myanmar,2600.117367893888,-27016.882632106113,-27016.882632106113,27016.882632106113,4.4715557287871635,3.4151599489196958,-1.0563957798674677,1.0563957798674677
MYS,MNG,35.0,Malaysia,Mongolia,6.447924988293981,-28.55207501170602,-28.55207501170602,28.55207501170602,1.5563025007672873,0.8720352940025489,-0.6842672067647384,0.6842672067647384
MYS,NPL,40114.0,Malaysia,Nepal,477.5581586255885,-39636.44184137441,-39636.44184137441,39636.44184137441,4.603306796538514,2.679934724631817,-1.9233720719066967,1.9233720719066967
MYS,OMN,195.0,Malaysia,Oman,8.558696548041073,-186.44130345195893,-186.44130345195893,186.44130345195893,2.292256071356476,0.9803986746413996,-1.3118573967150764,1.3118573967150764
MYS,PAK,6908.0,Malaysia,Pakistan,539.4687262895245,-6368.531273710476,-6368.531273710476,6368.531273710476,3.8394151926838935,2.7327705689778856,-1.1066446237060081,1.1066446237060081
MYS,PHL,18236.0,Malaysia,Philippines,3753.8939725637824,-14482.106027436217,-14482.106027436217,14482.106027436217,4.260953398104103,3.5745976782827724,-0.6863557198213313,0.6863557198213313
MYS,QAT,736.0,Malaysia,Qatar,4.345439990788589,-731.6545600092114,-731.6545600092114,731.6545600092114,2.8674674878590514,0.727983458414225,-2.1394840294448265,2.1394840294448265
MYS,SAU,2269.0,Malaysia,Saudi Arabia,50.44980625952082,-2218.5501937404792,-2218.5501937404792,2218.5501937404792,3.3560258571931225,1.7113837437130397,-1.644642113480083,1.644642113480083
MYS,SGP,29903.0,Malaysia,Singapore,56771.430833647726,26868.430833647726,26868.430833647726,26868.430833647726,4.475729284034757,4.754137489875198,0.2784082058404416,0.2784082058404416
MYS,SYR,275.0,Malaysia,Syria,31.78722983216898,-243.21277016783102,-243.21277016783102,243.21277016783102,2.4409090820652177,1.5157047250126192,-0.9252043570525984,0.9252043570525984
MYS,THA,11465.0,Malaysia,Thailand,27869.100345191517,16404.100345191517,16404.100345191517,16404.100345191517,4.059411937438656,4.445138532376186,0.3857265949375292,0.3857265949375292
MYS,TJK,51.0,Malaysia,Tajikistan,18.58757193032148,-32.41242806967852,-32.41242806967852,32.41242806967852,1.7160033436347992,1.2919806043143922,-0.424022739320407,0.424022739320407
MYS,TKM,10.0,Malaysia,Turkmenistan,11.5537787413958,1.5537787413957993,1.5537787413957993,1.5537787413957993,1.0413926851582251,1.0987744700023077,0.057381784844082656,0.057381784844082656
MYS,TLS,85.0,Malaysia,East Timor,23.92237769786772,-61.07762230213228,-61.07762230213228,61.07762230213228,1.9344984512435677,1.3965894734527764,-0.5379089777907914,0.5379089777907914
MYS,TUR,505.0,Malaysia,Turkey,118.29297172410459,-386.7070282758954,-386.7070282758954,386.7070282758954,2.7041505168397992,2.0766148574896803,-0.6275356593501188,0.6275356593501188
MYS,TWN,3782.0,Malaysia,Taiwan,408.25311987603357,-3373.7468801239665,-3373.7468801239665,3373.7468801239665,3.577836341292744,2.6119919988714706,-0.9658443424212733,0.9658443424212733
MYS,UZB,114.0,Malaysia,Uzbekistan,57.0442314165975,-56.9557685834025,-56.9557685834025,56.9557685834025,2.060697840353612,1.7637590649285853,-0.29693877542502645,0.29693877542502645
MYS,VNM,10972.0,Malaysia,Vietnam,153521.4163106797,142549.4163106797,142549.4163106797,142549.4163106797,4.040325379199724,5.186171797202509,1.1458464180027854,1.1458464180027854
MYS,YEM,764.0,Malaysia,Yemen,57.836107052855475,-706.1638929471445,-706.1638929471445,706.1638929471445,2.8836614351536176,1.7696439294974557,-1.1140175056561619,1.1140175056561619
NPL,AFG,235.0,Nepal,Afghanistan,67.65037531328672,-167.3496246867133,-167.3496246867133,167.3496246867133,2.3729120029701067,1.8366429158778554,-0.5362690870922511,0.5362690870922511
NPL,ARE,28271.0,Nepal,United Arab Emirates,9.199337759338652,-28261.80066224066,-28261.80066224066,28261.80066224066,4.451356532162689,1.0085719740362453,-3.4427845581264434,3.4427845581264434
NPL,ARM,13.0,Nepal,Armenia,2.2437307413340575,-10.756269258665942,-10.756269258665942,10.756269258665942,1.146128035678238,0.511044796708625,-0.635083238969613,0.635083238969613
NPL,AZE,36.0,Nepal,Azerbaijan,9.208353683758176,-26.791646316241824,-26.791646316241824,26.791646316241824,1.568201724066995,1.0089557084228926,-0.5592460156441024,0.5592460156441024
NPL,BGD,964.0,Nepal,Bangladesh,137076.72386759936,136112.72386759936,136112.72386759936,136112.72386759936,2.9845273133437926,5.136966884494709,2.152439571150916,2.152439571150916
NPL,BHR,1801.0,Nepal,Bahrain,1.377890270393533,-1799.6221097296066,-1799.6221097296066,1799.6221097296066,3.255754786643044,0.376191809886495,-2.8795629767565494,2.8795629767565494
NPL,BRN,157.0,Nepal,Brunei,0.3396680859084284,-156.66033191409159,-156.66033191409159,156.66033191409159,2.1986570869544226,0.12699721156334465,-2.0716598753910778,2.0716598753910778
NPL,BTN,71.0,Nepal,Bhutan,4285.844784118366,4214.844784118366,4214.844784118366,4214.844784118366,1.8573324964312685,3.6321377590830037,1.7748052626517352,1.7748052626517352
NPL,CYP,2255.0,Nepal,Cyprus,0.7317870075004111,-2254.2682129924997,-2254.2682129924997,2254.2682129924997,3.3533390953113047,0.23849447708352,-3.1148446182277847,3.1148446182277847
NPL,GEO,7.0,Nepal,Georgia,2.8205577398985358,-4.179442260101464,-4.179442260101464,4.179442260101464,0.9030899869919435,0.5821267675397339,-0.3209632194522097,0.3209632194522097
NPL,HKG,923.0,Nepal,Hong Kong S.A.R.,7.162908881197647,-915.8370911188024,-915.8370911188024,915.8370911188024,2.9656719712201065,0.911844948696661,-2.053827022523446,2.053827022523446
NPL,IDN,262.0,Nepal,Indonesia,180.81827142784437,-81.18172857215563,-81.18172857215563,81.18172857215563,2.419955748489758,2.2596375245491043,-0.16031822394065362,0.16031822394065362
NPL,IND,50966.0,Nepal,India,21533.03329584853,-29432.96670415147,-29432.96670415147,29432.96670415147,4.707289071065854,4.333125380222043,-0.37416369084381085,0.37416369084381085
NPL,IRQ,658.0,Nepal,Iraq,36.12584862976859,-621.8741513702314,-621.8741513702314,621.8741513702314,2.8188854145940097,1.5696763896252928,-1.249209024968717,1.249209024968717
NPL,ISR,82.0,Nepal,Israel,5.21604246293008,-76.78395753706992,-76.78395753706992,76.78395753706992,1.919078092376074,0.7935139725485256,-1.1255641198275483,1.1255641198275483
NPL,JOR,385.0,Nepal,Jordan,6.217221296499598,-378.7827787035004,-378.7827787035004,378.7827787035004,2.586587304671755,0.8583700219633105,-1.7282172827084445,1.7282172827084445
NPL,JPN,9596.0,Nepal,Japan,67.45739002977703,-9528.542609970224,-9528.542609970224,9528.542609970224,3.9821354948037695,1.835420337435907,-2.1467151573678627,2.1467151573678627
NPL,KAZ,25.0,Nepal,Kazakhstan,25.088201250628416,0.08820125062841555,0.08820125062841555,0.08820125062841555,1.414973347970818,1.4164441360624007,0.0014707880915827234,0.0014707880915827234
NPL,KGZ,18.0,Nepal,Kyrgyzstan,8.561331214062271,-9.438668785937729,-9.438668785937729,9.438668785937729,1.2787536009528289,0.9805183628485657,-0.29823523810426317,0.29823523810426317
NPL,KHM,111.0,Nepal,Cambodia,18.22046104451796,-92.77953895548204,-92.77953895548204,92.77953895548204,2.0492180226701815,1.2837638009542007,-0.7654542217159809,0.7654542217159809
NPL,KOR,6884.0,Nepal,South Korea,38.33979162371379,-6845.660208376286,-6845.660208376286,6845.660208376286,3.8379039445929424,1.5948320552042907,-2.2430718893886517,2.2430718893886517
NPL,KWT,5568.0,Nepal,Kuwait,3.949597756865145,-5564.050402243135,-5564.050402243135,5564.050402243135,3.745777217889759,0.6945699061917346,-3.0512073116980245,3.0512073116980245
NPL,LAO,16.0,Nepal,Laos,9.175506698782288,-6.8244933012177125,-6.8244933012177125,6.8244933012177125,1.2304489213782739,1.0075560445317624,-0.22289287684651163,0.22289287684651163
NPL,LBN,85.0,Nepal,Lebanon,3.236031210724667,-81.76396878927534,-81.76396878927534,81.76396878927534,1.9344984512435677,0.6269591512927571,-1.3075392999508106,1.3075392999508106
NPL,LKA,52.0,Nepal,Sri Lanka,24.255388957759628,-27.744611042240372,-27.744611042240372,27.744611042240372,1.724275869600789,1.4023540614608376,-0.3219218081399515,0.3219218081399515
NPL,MAC,481.0,Nepal,Macao S.A.R,0.7207716709169731,-480.279228329083,-480.279228329083,480.279228329083,2.6830470382388496,0.23572324764340605,-2.4473237905954437,2.4473237905954437
NPL,MMR,82.0,Nepal,Myanmar,96.67380866654526,14.673808666545256,14.673808666545256,14.673808666545256,1.919078092376074,1.989778122812606,0.07070003043653207,0.07070003043653207
NPL,MNG,9.0,Nepal,Mongolia,3.2451042074000473,-5.754895792599953,-5.754895792599953,5.754895792599953,1.0,0.6278883556266938,-0.37211164437330624,0.37211164437330624
NPL,MYS,7108.0,Nepal,Malaysia,31.950396902083583,-7076.049603097917,-7076.049603097917,7076.049603097917,3.8518085142282374,1.5178606502303806,-2.3339478639978566,2.3339478639978566
NPL,OMN,1159.0,Nepal,Oman,4.910389815394725,-1154.0896101846054,-1154.0896101846054,1154.0896101846054,3.0644579892269186,0.7716161253976538,-2.2928418638292647,2.2928418638292647
NPL,PAK,202.0,Nepal,Pakistan,349.32019941718613,147.32019941718613,147.32019941718613,147.32019941718613,2.307496037913213,2.5444651794030655,0.2369691414898528,0.2369691414898528
NPL,PHL,145.0,Nepal,Philippines,89.49941762601152,-55.50058237398848,-55.50058237398848,55.50058237398848,2.164352855784437,1.956645784480083,-0.20770707130435412,0.20770707130435412
NPL,QAT,25113.0,Nepal,Qatar,2.4436453764310166,-25110.556354623568,-25110.556354623568,25110.556354623568,4.3999158899163024,0.5370184218208588,-3.862897468095444,3.862897468095444
NPL,SAU,19122.0,Nepal,Saudi Arabia,27.236753218796217,-19094.763246781204,-19094.763246781204,19094.763246781204,4.281556025034367,1.4508147582358242,-2.830741266798543,2.830741266798543
NPL,SGP,108.0,Nepal,Singapore,5.1593816904665255,-102.84061830953347,-102.84061830953347,102.84061830953347,2.037426497940624,0.7895371177007635,-1.24788938023986,1.24788938023986
NPL,SYR,61.0,Nepal,Syria,12.254426624315439,-48.74557337568456,-48.74557337568456,48.74557337568456,1.792391689498254,1.1223609452504133,-0.6700307442478405,0.6700307442478405
NPL,THA,283.0,Nepal,Thailand,82.62496309791842,-200.37503690208158,-200.37503690208158,200.37503690208158,2.4533183400470375,1.9223359391301524,-0.5309824009168853,0.5309824009168853
NPL,TJK,56.0,Nepal,Tajikistan,12.331210873928685,-43.66878912607132,-43.66878912607132,43.66878912607132,1.7558748556724915,1.1248695981747092,-0.6310052574977821,0.6310052574977821
NPL,TKM,27.0,Nepal,Turkmenistan,7.474489675381447,-19.52551032461855,-19.52551032461855,19.52551032461855,1.4471580313422192,0.9281135549177301,-0.5190444764244891,0.5190444764244891
NPL,TLS,34.0,Nepal,East Timor,0.6503317924800837,-33.34966820751992,-33.34966820751992,33.34966820751992,1.5440680443502757,0.21757126612744912,-1.3264967782228265,1.3264967782228265
NPL,TUR,595.0,Nepal,Turkey,41.89075623657212,-553.1092437634279,-553.1092437634279,553.1092437634279,2.7752462597402365,1.6323637036528034,-1.142882556087433,1.142882556087433
NPL,TWN,105.0,Nepal,Taiwan,21.11821006832723,-83.88178993167277,-83.88178993167277,83.88178993167277,2.0253058652647704,1.34474997846893,-0.6805558867958401,0.6805558867958401
NPL,UZB,11.0,Nepal,Uzbekistan,41.21598738050716,30.21598738050716,30.21598738050716,30.21598738050716,1.0791812460476249,1.625476951346798,0.546295705299173,0.546295705299173
NPL,VNM,197.0,Nepal,Vietnam,99.84074736049426,-97.15925263950574,-97.15925263950574,97.15925263950574,2.296665190261531,2.003636055700718,-0.2930291345608129,0.2930291345608129
NPL,YEM,36.0,Nepal,Yemen,21.441367646111917,-14.558632353888083,-14.558632353888083,14.558632353888083,1.568201724066995,1.3510493206349403,-0.2171524034320547,0.2171524034320547
OMN,AFG,68.0,Oman,Afghanistan,217.88983663023387,149.88983663023387,149.88983663023387,149.88983663023387,1.8388490907372552,2.3402255971189727,0.5013765063817173,0.5013765063817173
OMN,ARE,5223.0,Oman,United Arab Emirates,78662.19143183775,73439.19143183775,73439.19143183775,73439.19143183775,3.7180031682670176,4.895771562123564,1.1777683938565464,1.1777683938565464
OMN,ARM,14.0,Oman,Armenia,0.4466544043642623,-13.553345595635738,-13.553345595635738,13.553345595635738,1.1760912590556813,0.1603647935904245,-1.0157264654652567,1.0157264654652567
OMN,AZE,10.0,Oman,Azerbaijan,1.5896518987882893,-8.41034810121171,-8.41034810121171,8.41034810121171,1.0413926851582251,0.4132413901061,-0.6281512950521251,0.6281512950521251
OMN,BGD,32237.0,Oman,Bangladesh,20.291894634178064,-32216.708105365822,-32216.708105365822,32216.708105365822,4.508368090952338,1.32821430834102,-3.1801537826113173,3.1801537826113173
OMN,BHR,341.0,Oman,Bahrain,2575.465247396341,2234.465247396341,2234.465247396341,2234.465247396341,2.534026106056135,3.411024288863544,0.876998182807409,0.876998182807409
OMN,BRN,37.0,Oman,Brunei,0.029231851734405866,-36.97076814826559,-36.97076814826559,36.97076814826559,1.5797835966168101,0.012513217898242172,-1.567270378718568,1.567270378718568
OMN,BTN,29.0,Oman,Bhutan,0.10169744977105742,-28.898302550228944,-28.898302550228944,28.898302550228944,1.4771212547196624,0.04206234412069269,-1.4350589105989697,1.4350589105989697
